key1,key2,penalty
mr,bs,0.006244799
js,by,0.0014773841
qy,x',0.00008499574
mu,tw,0.009924047
af,x',0.0007389679
gh,ty,0.003070259
ah,ux,0.0021080468
lq,cs,0.0042245854
mn,wz,0.004541821
cg,ky,0.002705405
ij,tw,0.009553943
fk,rt,0.0066713756
cp,aw,0.0031632523
jn,qu,0.0006842456
vw,sx,0.0012160211
pq,fs,0.00530688
dr,hz,0.006135923
mr,hu,0.0038537832
qs,l',0.00024865055
dp,os,0.004008719
gh,cl,0.0032369432
gl,bn,0.00404795
gs,iv,0.0044436255
hk,cr,0.003696556
nq,ct,0.003414462
bh,x',0.0071095726
bx,qy,0.0004560182
dg,pq,0.0038425522
mr,nz,0.003594172
ct,qv,0.0033708762
np,dx,0.0025662158
bt,aw,0.0033230074
gw,d',0.0011856146
hp,gs,0.0059800604
ae,iu,0.012330949
fw,xz,0.0020342025
rv,sw,0.0047750357
ho,su,0.0016068852
gl,uy,0.002945908
cq,lu,0.0007885583
cq,iz,0.00026110894
em,cv,0.0024865011
er,vy,0.0035213104
fo,rt,0.005350747
go,hu,0.001190281
aj,fr,0.0059644547
eo,nx,0.010259732
as,k',0.0028754582
bu,qz,0.0005320159
ku,m',0.00034217938
nv,hw,0.010227313
bd,hs,0.0048374175
ef,jm,0.0021854367
dh,my,0.0044057067
qv,az,0.00024327525
ln,mv,0.0053879153
ce,k',0.0013755133
ae,m',0.008447986
il,pu,0.0018872553
df,ep,0.002831361
jo,ms,0.0067435023
hs,fv,0.004019494
fx,hz,0.00048131114
hj,kq,0.00062016636
bc,ip,0.0032969757
af,tz,0.0012647555
ck,ms,0.007315687
qs,xy,0.0005932374
bc,gx,0.0025830783
ov,ax,0.0010237568
bc,mt,0.007408056
im,pw,0.002895776
hi,kl,0.0022073935
bj,co,0.0019910731
af,pq,0.00085971656
ir,fy,0.0022911225
qs,fy,0.0010728496
mw,dy,0.008053807
qt,dy,0.0024686914
iq,hs,0.0029499633
dn,tx,0.006026086
im,ct,0.0045729666
er,t',0.0031219125
ae,in,0.010619131
lr,kw,0.0052127554
mn,et,0.007952463
js,qw,0.00076589285
ao,mt,0.017248215
gq,pv,0.00093429687
gp,cz,0.0015248117
km,fw,0.0038771054
pr,iw,0.0027831302
bs,iw,0.0032595498
bg,hm,0.006423031
gk,e',0.0015197098
ac,er,0.004849716
mv,r',0.0013352953
cn,es,0.0053154486
em,ly,0.0026290806
op,qx,0.0018483788
ez,w',0.00017102921
gq,tx,0.0009177013
bn,uy,0.0018119146
mr,uy,0.0036977183
fq,bw,0.0054394496
bp,u',0.0024735164
im,cz,0.001450978
op,qu,0.0018629354
ft,ou,0.007869341
tx,my,0.0033293357
lr,gy,0.005445491
bg,mx,0.0021087085
hk,yz,0.001378272
ky,d',0.0004797801
ci,vx,0.0013720291
gh,lt,0.005202246
mt,y',0.0050268434
gj,eq,0.0006983698
ik,fv,0.0015066081
ai,lz,0.035467986
cj,bx,0.0009233633
et,hu,0.0038701515
mu,hx,0.0009421478
fs,tv,0.006442997
dk,mv,0.0039098766
or,wx,0.0020332518
bm,vx,0.009374368
cm,f',0.0029821438
cj,tu,0.0012119303
nr,av,0.009077197
is,v',0.002126187
rt,qv,0.0047841617
gx,oy,0.0018659028
bm,cy,0.009915684
bd,t',0.001968163
di,lp,0.0041955602
br,ds,0.0154132815
qv,w',0.00010260917
np,rv,0.0037181275
bs,mu,0.0033639595
ms,u',0.006472975
uw,gz,0.00062018895
aq,gz,0.00036398106
js,l',0.00073714554
vx,t',0.0003320135
ai,dm,0.04166934
cx,a',0.0005268191
bl,et,0.0062713446
rv,e',0.0018047135
os,bw,0.006551882
os,gw,0.0023601945
kp,ay,0.0023405266
ak,lr,0.005179536
op,as,0.004803601
do,x',0.0010073308
kl,rx,0.0020018134
cq,jy,0.0004812645
ej,lo,0.0014004903
aj,hm,0.0051008854
bf,dr,0.008505755
hk,sy,0.0047603073
ah,tx,0.002595128
gp,rs,0.007321156
st,lv,0.025984492
bs,kz,0.0028439949
kv,w',0.0010229913
cs,nw,0.0064850235
ot,ew,0.0021088596
fr,ax,0.0060742684
hn,tx,0.0038669414
kv,bw,0.0063862004
ps,t',0.0041659144
bf,ru,0.0036041457
hk,oy,0.002842663
ef,rt,0.0059307353
ek,qx,0.0012038138
gq,dy,0.0024902807
ew,sz,0.0013818478
es,hx,0.0027796826
dj,hl,0.0032008188
dj,fn,0.01402562
ln,az,0.0041562286
fo,mw,0.0061726198
ny,z',0.0035121832
cr,hz,0.002655859
rx,sz,0.0012379211
mo,gx,0.0017331986
gj,f',0.00060138095
fn,jo,0.013640893
hp,ot,0.0035974141
qx,ty,0.0015410627
fh,jx,0.0020581898
jl,nz,0.0009646289
bp,sz,0.0030162781
gm,s',0.0015421062
ax,dz,0.0010452935
fi,kx,0.0009846305
ch,js,0.0031221488
dk,fp,0.004297087
fk,tv,0.0028984724
bn,ow,0.0029900982
bs,fu,0.003070698
dr,qv,0.0059927115
ms,h',0.0064160395
kx,oz,0.0003859008
ej,hk,0.001618065
bh,mz,0.007401519
bm,x',0.009045096
cm,fz,0.0031343687
ah,gm,0.0033827291
eh,dz,0.0028446119
mr,xz,0.0033753794
as,jv,0.0032005734
fk,uy,0.0022549524
gt,cu,0.004107011
jt,qw,0.00081633846
dw,t',0.0025857347
bn,gu,0.0018854568
gk,sy,0.0049084504
gj,lv,0.0016265385
jn,rx,0.0012581091
mp,lu,0.0043170983
qr,ou,0.0031483197
df,j',0.0013300508
bp,gt,0.0062552295
fr,d',0.0056075305
bs,du,0.003261828
ev,yz,0.0006034346
nv,g',0.0016818481
ei,gv,0.005600552
dm,ho,0.0050846087
jo,lq,0.00043181918
ap,fy,0.0023613258
jr,tv,0.0016830651
br,cw,0.0055456343
fr,qt,0.0056863297
ps,qu,0.0041999
eq,hy,0.0011336517
fj,lq,0.0006448951
gs,et,0.008765004
nt,pz,0.01956243
vx,r',0.0003574198
au,hy,0.005426407
ek,mv,0.0024222084
bc,oy,0.0040278747
ij,kl,0.0016769078
mp,gv,0.0042812848
gi,jy,0.0009795349
dm,hw,0.012858788
gj,ns,0.021929877
br,fy,0.003283284
ir,wz,0.001524761
ac,by,0.0024844569
cq,iw,0.0007002093
hi,kv,0.0018704721
fn,bv,0.014005545
op,n',0.0018726055
bd,vy,0.002326801
eg,sx,0.0017099
ij,km,0.0018875411
dj,ix,0.0010663843
bl,o',0.002569621
dm,er,0.0077725174
bo,gq,0.0032325818
ds,uz,0.0129042845
ju,hz,0.00046644924
lw,hz,0.0022803878
ko,rx,0.0010763847
fi,an,0.0021608677
du,oz,0.0007159604
am,kt,0.0030822412
gj,uw,0.0009705009
de,jw,0.0027432805
fh,g',0.0018966928
im,fy,0.005042728
ku,wy,0.0015262238
fo,ds,0.013420878
lv,m',0.0010549014
mn,it,0.0059249625
ej,cm,0.0033044764
io,tx,0.016826347
wx,lz,0.0006162238
cm,wx,0.0033231867
df,qy,0.0014133444
dn,ex,0.005780584
bf,dm,0.0063794497
hn,ow,0.0046782615
mt,bu,0.0055435426
gw,ux,0.0014263119
dk,no,0.0058151134
cl,qv,0.0019173966
ay,g',0.0008119636
ho,uv,0.0011878326
fv,t',0.0011105717
lw,jy,0.0024148424
be,go,0.0017273164
il,hp,0.003302714
ew,b',0.00082972355
lx,py,0.0012390316
dz,v',0.00054670294
kn,xz,0.0017001389
hq,dy,0.0024498883
mu,jx,0.0008632671
jr,ow,0.0022098147
fp,xz,0.0016741835
mo,iv,0.0020135222
cs,f',0.004122441
ck,jp,0.0016101752
an,fq,0.0014231686
io,hv,0.016451064
gh,kx,0.0016397514
hl,gp,0.0038437822
tu,rw,0.0023063614
ce,nt,0.020981273
hs,rt,0.008688683
hp,nz,0.0023329395
kq,js,0.0007738317
dn,eu,0.007994767
bt,qx,0.002775247
jq,wy,0.0012890557
ad,hq,0.0015616675
ae,ju,0.00867178
ku,iv,0.00091772876
cv,oz,0.0009549554
uv,cx,0.0008305989
tx,vy,0.0011826643
al,vx,0.0018480424
or,cw,0.0049969507
ay,mz,0.0010937599
ak,su,0.0014992695
gx,n',0.00042192332
eh,kn,0.0043120044
be,qw,0.0011550222
kn,is,0.0038474859
cf,kl,0.0032806937
mq,cv,0.0009470249
ju,dv,0.0012390803
gi,ez,0.0007880524
hn,dp,0.005856626
dk,i',0.002680147
fj,pv,0.0013289311
jo,ty,0.0017943905
iu,w',0.0036832409
fw,h',0.0019556102
hx,jy,0.00062472303
lm,qz,0.003935153
eh,iw,0.0028951655
ch,kn,0.004092739
vx,w',0.00029358643
mv,pz,0.0014805775
ru,d',0.0016112281
au,x',0.004282602
cu,hy,0.0016447204
kn,j',0.0016120409
ep,v',0.001451652
di,kr,0.0024995285
bg,sy,0.005464208
dq,et,0.003419212
en,as,0.0046459674
im,wy,0.0024051524
dp,iz,0.0028345883
gq,pu,0.00077254523
dn,pz,0.0054655187
gx,kz,0.0005065596
ry,wz,0.0019849888
dp,g',0.0027234608
ce,lu,0.0020022653
ft,iy,0.0054758657
dm,cv,0.005061586
dg,w',0.003737042
bj,cu,0.001437736
dm,uy,0.004606791
ln,iw,0.0047511985
bc,fr,0.007907272
lp,ks,0.004489243
cp,jt,0.0032856297
np,ft,0.0067521734
et,wz,0.0034418746
gt,uy,0.0038216228
nt,vz,0.01955913
bt,rw,0.00453896
fx,gz,0.0005023415
ej,uz,0.00042496578
fq,ny,0.0036158955
jr,pw,0.0023454288
de,pw,0.0040463996
cf,oq,0.002003826
bh,r',0.0071853627
be,cp,0.003689433
kt,xy,0.0019719219
nu,ex,0.0011853364
fl,ds,0.015543943
js,vz,0.00082240195
cv,nz,0.0011112881
fw,gy,0.0029514171
dl,mn,0.008490819
dt,m',0.0067972257
bc,ly,0.003273248
av,py,0.0013166325
ag,iy,0.0016959048
ak,dm,0.005045272
jl,gn,0.004475349
fn,sz,0.013900511
mn,ku,0.0047464026
ir,tz,0.0019029537
ew,uz,0.00090145296
gm,dy,0.0039511397
yz,a',0.00024778378
fi,gs,0.0046100835
cl,jp,0.0025858374
em,as,0.004864552
oq,pu,0.00073955127
or,i',0.0017432778
ew,tz,0.0013152726
dn,hr,0.008210675
fi,dv,0.0017306398
af,kl,0.002108176
fn,hw,0.021869425
dg,it,0.005164051
an,dq,0.0014518247
mn,hw,0.013255137
cf,i',0.001950528
dr,bs,0.008885923
hs,kt,0.004693775
lm,jo,0.004252068
ms,rw,0.00811694
bq,gx,0.00043486353
bi,cx,0.0012227185
qs,fu,0.00058571005
nt,lv,0.020440591
ef,ov,0.001595332
do,cu,0.001661409
rx,p',0.00069777784
